,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
4,2023-09-17,12:15,Eredivisie,Matchweek 5,Sun,Home,D,1.0,1.0,Go Ahead Eag,2.7,1.0,62.0,13750.0,Bram van Polen,4-2-3-1,Rob Dieperink,Match Report,,27.0,11.0,16.0,0.0,0,0,2024,Zwolle
5,2023-09-24,16:45,Eredivisie,Matchweek 6,Sun,Home,L,0.0,3.0,AZ Alkmaar,0.8,1.0,46.0,14000.0,Bram van Polen,4-2-3-1,Edwin van de Graaf,Match Report,,7.0,3.0,17.5,0.0,0,0,2024,Zwolle
6,2023-10-01,14:30,Eredivisie,Matchweek 7,Sun,Away,L,1.0,2.0,Heracles Almelo,1.6,2.5,56.0,11624.0,Younes Namli,4-2-3-1,Bas Nijhuis,Match Report,,13.0,5.0,14.1,0.0,0,0,2024,Zwolle
7,2023-10-08,12:15,Eredivisie,Matchweek 8,Sun,Home,L,0.0,2.0,Feyenoord,0.8,2.2,42.0,14000.0,Younes Namli,4-2-3-1,Sander van der Eijk,Match Report,,4.0,1.0,18.0,0.0,0,0,2024,Zwolle
8,2023-10-22,14:30,Eredivisie,Matchweek 9,Sun,Away,W,4.0,2.0,Excelsior,1.2,2.1,46.0,4400.0,Bram van Polen,4-2-3-1,Jannick van der Laan,Match Report,,11.0,6.0,15.8,1.0,0,0,2024,Zwolle
9,2023-10-27,20:00,Eredivisie,Matchweek 10,Fri,Away,D,1.0,1.0,Vitesse,0.2,2.3,37.0,15023.0,Bram van Polen,4-1-4-1,Robin Hensgens,Match Report,,5.0,2.0,20.1,0.0,0,0,2024,Zwolle
10,2023-11-05,14:30,Eredivisie,Matchweek 11,Sun,Home,W,2.0,0.0,Fortuna Sittard,1.6,0.9,57.0,14000.0,Bram van Polen,4-3-3,Danny Makkelie,Match Report,,15.0,6.0,20.5,0.0,0,0,2024,Zwolle
11,2023-11-12,12:15,Eredivisie,Matchweek 12,Sun,Away,L,0.0,4.0,PSV Eindhoven,0.3,1.9,34.0,34200.0,Bram van Polen,4-3-3,Ingmar Oostrom,Match Report,,3.0,2.0,11.3,0.0,0,0,2024,Zwolle
12,2023-11-25,21:00,Eredivisie,Matchweek 13,Sat,Home,L,1.0,2.0,RKC Waalwijk,1.0,1.4,53.0,14000.0,Bram van Polen,4-3-3,Martin van den Kerkhof,Match Report,,17.0,6.0,16.5,0.0,0,0,2024,Zwolle
13,2023-12-02,18:45,Eredivisie,Matchweek 14,Sat,Away,W,5.0,0.0,Volendam,2.1,0.9,59.0,6800.0,Bram van Polen,4-2-3-1,Dennis Higler,Match Report,,20.0,10.0,18.2,0.0,0,0,2024,Zwolle
14,2023-12-09,20:00,Eredivisie,Matchweek 15,Sat,Home,L,1.0,3.0,NEC Nijmegen,1.2,1.2,54.0,13324.0,Bram van Polen,4-2-3-1,Pol van Boekel,Match Report,,16.0,3.0,17.9,0.0,0,0,2024,Zwolle
15,2023-12-17,16:45,Eredivisie,Matchweek 16,Sun,Away,D,2.0,2.0,Ajax,1.8,2.4,36.0,53853.0,Bram van Polen,4-2-3-1,Joey Kooij,Match Report,,11.0,3.0,12.7,0.0,0,0,2024,Zwolle
16,2024-01-13,20:00,Eredivisie,Matchweek 17,Sat,Home,D,2.0,2.0,Heerenveen,1.7,2.7,55.0,14000.0,Bram van Polen,4-4-2,Danny Makkelie,Match Report,,13.0,5.0,15.6,0.0,0,0,2024,Zwolle
17,2024-01-20,20:00,Eredivisie,Matchweek 18,Sat,Away,D,2.0,2.0,AZ Alkmaar,1.8,2.9,37.0,17782.0,Bram van Polen,4-2-3-1,Allard Lindhout,Match Report,,8.0,5.0,15.9,0.0,0,0,2024,Zwolle
0,2023-08-12,18:45,Eredivisie,Matchweek 1,Sat,Home,W,3.0,1.0,RKC Waalwijk,1.5,2.0,47.0,19500.0,Paweł Bochniewicz,4-4-2,Marc Nagtegaal,Match Report,,19.0,9.0,18.5,1.0,0,0,2024,Heerenveen
1,2023-08-20,12:15,Eredivisie,Matchweek 2,Sun,Away,W,2.0,0.0,Utrecht,0.5,0.9,43.0,19878.0,Paweł Bochniewicz,4-2-3-1,Ingmar Oostrom,Match Report,,12.0,6.0,20.3,0.0,0,0,2024,Heerenveen
2,2023-08-27,16:45,Eredivisie,Matchweek 3,Sun,Home,L,1.0,3.0,Sparta R'dam,2.2,2.1,55.0,19700.0,Paweł Bochniewicz,4-2-3-1,Allard Lindhout,Match Report,,19.0,5.0,17.8,0.0,0,0,2024,Heerenveen
3,2023-09-02,18:45,Eredivisie,Matchweek 4,Sat,Away,L,2.0,3.0,Go Ahead Eag,1.3,3.2,52.0,9723.0,Paweł Bochniewicz,4-2-3-1,Jannick van der Laan,Match Report,,13.0,3.0,18.3,0.0,0,0,2024,Heerenveen
4,2023-09-16,16:30,Eredivisie,Matchweek 5,Sat,Away,L,1.0,6.0,Feyenoord,0.8,3.3,39.0,47500.0,Sven van Beek,4-2-3-1,Jeroen Manschot,Match Report,,7.0,1.0,15.8,0.0,0,0,2024,Heerenveen
5,2023-09-23,21:00,Eredivisie,Matchweek 6,Sat,Home,L,0.0,3.0,Excelsior,0.8,1.0,59.0,19630.0,Sven van Beek,4-2-3-1,Erwin Blank,Match Report,,9.0,2.0,16.7,1.0,0,0,2024,Heerenveen
6,2023-09-30,21:00,Eredivisie,Matchweek 7,Sat,Away,L,0.0,1.0,Twente,0.4,0.7,35.0,29500.0,Sven van Beek,4-2-3-1,Rob Dieperink,Match Report,,5.0,1.0,15.6,1.0,0,0,2024,Heerenveen
7,2023-10-07,16:30,Eredivisie,Matchweek 8,Sat,Home,D,1.0,1.0,NEC Nijmegen,2.1,1.0,49.0,20600.0,Sven van Beek,4-3-3,Marc Nagtegaal,Match Report,,18.0,7.0,16.4,0.0,0,0,2024,Heerenveen
8,2023-10-21,21:00,Eredivisie,Matchweek 9,Sat,Away,L,0.0,3.0,AZ Alkmaar,0.4,1.4,41.0,17421.0,Sven van Beek,4-3-3,Jochem Kamphuis,Match Report,,9.0,3.0,20.9,1.0,0,0,2024,Heerenveen
9,2023-10-28,18:45,Eredivisie,Matchweek 10,Sat,Home,W,3.0,0.0,Heracles Almelo,2.6,0.7,48.0,21700.0,Sven van Beek,4-3-3,Martin van den Kerkhof,Match Report,,18.0,9.0,15.6,0.0,0,0,2024,Heerenveen
10,2023-11-05,16:45,Eredivisie,Matchweek 11,Sun,Away,L,1.0,4.0,Ajax,1.4,2.5,43.0,54288.0,Sven van Beek,4-2-3-1,Sander van der Eijk,Match Report,,12.0,3.0,12.6,0.0,0,0,2024,Heerenveen
11,2023-11-11,21:00,Eredivisie,Matchweek 12,Sat,Away,W,3.0,1.0,Vitesse,2.3,0.5,60.0,14973.0,Sven van Beek,4-2-3-1,Edwin van de Graaf,Match Report,,18.0,6.0,16.0,0.0,1,1,2024,Heerenveen
12,2023-11-25,18:45,Eredivisie,Matchweek 13,Sat,Home,W,3.0,0.0,Fortuna Sittard,2.8,0.5,56.0,21000.0,Sven van Beek,4-2-3-1,Jeroen Manschot,Match Report,,14.0,3.0,19.7,0.0,2,2,2024,Heerenveen
13,2023-12-01,20:00,Eredivisie,Matchweek 14,Fri,Home,W,3.0,0.0,Almere City,3.3,0.9,52.0,20555.0,Sven van Beek,4-2-3-1,Richard Martens,Match Report,,15.0,7.0,12.2,0.0,0,0,2024,Heerenveen
14,2023-12-07,18:45,Eredivisie,Matchweek 15,Thu,Away,L,0.0,2.0,PSV Eindhoven,0.6,4.6,39.0,34000.0,Sven van Beek,4-3-3,Bas Nijhuis,Match Report,,12.0,1.0,18.9,0.0,0,0,2024,Heerenveen
15,2023-12-16,21:00,Eredivisie,Matchweek 16,Sat,Home,L,1.0,2.0,Volendam,1.1,0.8,77.0,21800.0,Sven van Beek,4-2-3-1,Allard Lindhout,Match Report,,20.0,7.0,20.0,0.0,0,0,2024,Heerenveen
16,2024-01-13,20:00,Eredivisie,Matchweek 17,Sat,Away,D,2.0,2.0,Zwolle,2.7,1.7,45.0,14000.0,Sven van Beek,4-2-3-1,Danny Makkelie,Match Report,,19.0,9.0,17.8,0.0,1,1,2024,Heerenveen
17,2024-01-19,20:00,Eredivisie,Matchweek 18,Fri,Away,L,0.0,3.0,Excelsior,0.4,2.5,58.0,4400.0,Sven van Beek,4-2-3-1,Edwin van de Graaf,Match Report,,9.0,1.0,20.3,0.0,0,0,2024,Heerenveen
0,2023-08-13,14:30,Eredivisie,Matchweek 1,Sun,Away,D,0.0,0.0,Feyenoord,1.2,1.3,39.0,47500.0,Ivo Pinto,4-3-3,Rob Dieperink,Match Report,,14.0,4.0,23.0,0.0,0,0,2024,Fortuna Sittard
1,2023-08-19,20:00,Eredivisie,Matchweek 2,Sat,Home,W,2.0,1.0,Almere City,1.8,1.2,48.0,8893.0,Ivo Pinto,4-2-3-1,Jannick van der Laan,Match Report,,21.0,7.0,17.4,0.0,0,0,2024,Fortuna Sittard
2,2023-08-26,21:00,Eredivisie,Matchweek 3,Sat,Away,D,2.0,2.0,Excelsior,1.2,1.7,55.0,4139.0,Ivo Pinto,4-2-3-1,Robin Hensgens,Match Report,,13.0,5.0,15.3,0.0,0,0,2024,Fortuna Sittard
3,2023-09-03,14:30,Eredivisie,Matchweek 4,Sun,Home,D,0.0,0.0,Ajax,1.2,0.6,35.0,12138.0,Ivo Pinto,4-2-3-1,Sander van der Eijk,Match Report,,10.0,3.0,19.0,0.0,0,1,2024,Fortuna Sittard
4,2023-09-16,20:00,Eredivisie,Matchweek 5,Sat,Home,W,3.0,1.0,Volendam,2.6,0.2,58.0,9238.0,Ivo Pinto,4-2-3-1,Jochem Kamphuis,Match Report,,27.0,10.0,19.0,1.0,0,0,2024,Fortuna Sittard
5,2023-09-22,20:00,Eredivisie,Matchweek 6,Fri,Away,L,0.0,3.0,Go Ahead Eag,1.2,2.3,51.0,9803.0,Ivo Pinto,4-2-3-1,Bas Nijhuis,Match Report,,21.0,2.0,18.6,1.0,0,0,2024,Fortuna Sittard
6,2023-10-01,16:45,Eredivisie,Matchweek 7,Sun,Away,L,0.0,4.0,AZ Alkmaar,0.6,2.0,44.0,19478.0,Ivo Pinto,4-2-3-1,Serdar Gözübüyük,Match Report,,8.0,1.0,18.9,1.0,0,0,2024,Fortuna Sittard
7,2023-10-08,14:30,Eredivisie,Matchweek 8,Sun,Home,L,0.0,3.0,Twente,0.1,1.9,42.0,11048.0,Ivo Pinto,4-2-3-1,Martin van den Kerkhof,Match Report,,3.0,1.0,17.1,1.0,0,0,2024,Fortuna Sittard
8,2023-10-21,18:45,Eredivisie,Matchweek 9,Sat,Away,L,1.0,3.0,PSV Eindhoven,0.8,1.1,27.0,34200.0,Ivo Pinto,4-2-3-1,Rob Dieperink,Match Report,,1.0,0.0,33.0,0.0,1,1,2024,Fortuna Sittard
9,2023-10-28,21:00,Eredivisie,Matchweek 10,Sat,Home,D,0.0,0.0,Utrecht,1.2,0.9,52.0,10102.0,Ivo Pinto,4-2-3-1,Bas Nijhuis,Match Report,,10.0,4.0,24.0,1.0,0,1,2024,Fortuna Sittard
10,2023-11-05,14:30,Eredivisie,Matchweek 11,Sun,Away,L,0.0,2.0,Zwolle,0.9,1.6,43.0,14000.0,Ivo Pinto,4-2-3-1,Danny Makkelie,Match Report,,8.0,2.0,20.8,1.0,0,0,2024,Fortuna Sittard
11,2023-11-10,20:00,Eredivisie,Matchweek 12,Fri,Home,W,4.0,1.0,Heracles Almelo,1.4,1.0,43.0,10196.0,Ivo Pinto,3-1-4-2,Allard Lindhout,Match Report,,15.0,8.0,17.3,1.0,0,0,2024,Fortuna Sittard
12,2023-11-25,18:45,Eredivisie,Matchweek 13,Sat,Away,L,0.0,3.0,Heerenveen,0.5,2.8,44.0,21000.0,Ivo Pinto,3-4-3,Jeroen Manschot,Match Report,,10.0,4.0,20.0,1.0,0,0,2024,Fortuna Sittard
13,2023-12-02,20:00,Eredivisie,Matchweek 14,Sat,Home,W,3.0,1.0,Vitesse,2.0,1.0,47.0,10009.0,Ivo Pinto,4-2-3-1,Alex Bos,Match Report,,14.0,10.0,16.3,0.0,0,1,2024,Fortuna Sittard
14,2023-12-10,14:30,Eredivisie,Matchweek 15,Sun,Home,W,1.0,0.0,RKC Waalwijk,1.4,0.8,47.0,10397.0,Ivo Pinto,4-2-3-1,Joey Kooij,Match Report,,11.0,3.0,18.0,1.0,0,0,2024,Fortuna Sittard
15,2023-12-15,20:00,Eredivisie,Matchweek 16,Fri,Away,L,1.0,4.0,NEC Nijmegen,0.4,2.1,43.0,12500.0,Ivo Pinto,4-2-3-1,Edwin van de Graaf,Match Report,,11.0,4.0,19.8,0.0,0,0,2024,Fortuna Sittard
16,2024-01-13,16:30,Eredivisie,Matchweek 17,Sat,Home,L,0.0,2.0,Sparta R'dam,3.4,1.4,48.0,9800.0,Ivo Pinto,4-2-3-1,Erwin Blank,Match Report,,24.0,6.0,16.3,0.0,0,1,2024,Fortuna Sittard
0,2023-08-13,16:45,Eredivisie,Matchweek 1,Sun,Home,L,1.0,4.0,Twente,0.5,1.7,34.0,3616.0,Damian van Bruggen,4-3-3,Jochem Kamphuis,Match Report,,12.0,4.0,21.2,1.0,0,0,2024,Almere City
1,2023-08-19,20:00,Eredivisie,Matchweek 2,Sat,Away,L,1.0,2.0,Fortuna Sittard,1.2,1.8,52.0,8893.0,Álvaro Peña,4-2-3-1,Jannick van der Laan,Match Report,,8.0,5.0,14.6,0.0,0,0,2024,Almere City
2,2023-08-27,14:30,Eredivisie,Matchweek 3,Sun,Away,L,1.0,6.0,Feyenoord,1.3,4.4,37.0,47500.0,Damian van Bruggen,4-2-3-1,Bas Nijhuis,Match Report,,6.0,1.0,24.4,0.0,0,0,2024,Almere City
3,2023-09-02,16:30,Eredivisie,Matchweek 4,Sat,Home,L,1.0,2.0,Zwolle,0.6,0.9,46.0,3824.0,Damian van Bruggen,4-2-3-1,Marc Nagtegaal,Match Report,,10.0,3.0,18.9,0.0,0,0,2024,Almere City
4,2023-09-17,14:30,Eredivisie,Matchweek 5,Sun,Away,D,0.0,0.0,Excelsior,1.7,0.8,51.0,4400.0,Damian van Bruggen,4-4-2,Martin van den Kerkhof,Match Report,,15.0,3.0,18.7,0.0,0,0,2024,Almere City
5,2023-09-23,20:00,Eredivisie,Matchweek 6,Sat,Home,L,0.0,4.0,PSV Eindhoven,0.4,3.6,40.0,4332.0,Damian van Bruggen,5-3-2,Alex Bos,Match Report,,9.0,2.0,20.5,0.0,0,0,2024,Almere City
6,2023-09-30,18:45,Eredivisie,Matchweek 7,Sat,Away,W,2.0,0.0,Utrecht,2.0,1.2,47.0,22177.0,Damian van Bruggen,5-3-2,Edwin van de Graaf,Match Report,,17.0,5.0,17.5,0.0,0,0,2024,Almere City
7,2023-10-07,18:45,Eredivisie,Matchweek 8,Sat,Home,W,1.0,0.0,RKC Waalwijk,1.9,0.6,43.0,4228.0,Damian van Bruggen,5-3-2,Jeroen Manschot,Match Report,,18.0,6.0,16.2,1.0,0,0,2024,Almere City
8,2023-10-21,20:00,Eredivisie,Matchweek 9,Sat,Away,D,1.0,1.0,NEC Nijmegen,0.7,1.2,44.0,12500.0,Damian van Bruggen,5-3-2,Danny Makkelie,Match Report,,14.0,2.0,18.6,0.0,0,0,2024,Almere City
9,2023-10-28,20:00,Eredivisie,Matchweek 10,Sat,Home,D,0.0,0.0,Go Ahead Eag,1.1,0.6,51.0,4222.0,Damian van Bruggen,5-3-2,Serdar Gözübüyük,Match Report,,11.0,1.0,15.0,0.0,0,0,2024,Almere City
10,2023-11-05,16:45,Eredivisie,Matchweek 11,Sun,Away,W,2.0,1.0,Sparta R'dam,1.3,1.4,38.0,10132.0,Damian van Bruggen,5-3-2,Allard Lindhout,Match Report,,11.0,4.0,17.1,0.0,0,0,2024,Almere City
11,2023-11-12,14:30,Eredivisie,Matchweek 12,Sun,Home,D,2.0,2.0,Ajax,2.6,2.5,37.0,4222.0,Damian van Bruggen,5-3-2,Bas Nijhuis,Match Report,,12.0,4.0,18.0,0.0,1,1,2024,Almere City
12,2023-11-26,12:15,Eredivisie,Matchweek 13,Sun,Home,L,0.0,5.0,Heracles Almelo,1.1,3.2,62.0,4222.0,Damian van Bruggen,3-4-1-2,Jannick van der Laan,Match Report,,17.0,3.0,16.1,0.0,0,0,2024,Almere City
13,2023-12-01,20:00,Eredivisie,Matchweek 14,Fri,Away,L,0.0,3.0,Heerenveen,0.9,3.3,48.0,20555.0,Damian van Bruggen,3-4-1-2,Richard Martens,Match Report,,13.0,2.0,15.9,0.0,0,0,2024,Almere City
14,2023-12-09,21:00,Eredivisie,Matchweek 15,Sat,Away,L,1.0,4.0,AZ Alkmaar,0.6,1.7,39.0,18429.0,Damian van Bruggen,4-4-2,Sander van der Eijk,Match Report,,12.0,6.0,17.5,1.0,0,0,2024,Almere City
15,2023-12-17,12:15,Eredivisie,Matchweek 16,Sun,Home,W,5.0,0.0,Vitesse,1.8,0.4,44.0,4222.0,Sherel Floranus,3-4-1-2,Danny Makkelie,Match Report,,11.0,6.0,23.0,1.0,1,1,2024,Almere City
16,2024-01-14,12:15,Eredivisie,Matchweek 17,Sun,Away,W,1.0,0.0,Volendam,1.7,0.8,38.0,6738.0,Sherel Floranus,3-4-1-2,Ingmar Oostrom,Match Report,,10.0,2.0,13.6,1.0,0,0,2024,Almere City
0,2023-08-12,20:00,Eredivisie,Matchweek 1,Sat,Away,L,1.0,4.0,Ajax,0.9,3.4,31.0,54029.0,Justin Hoogma,4-2-3-1,Jeroen Manschot,Match Report,,7.0,2.0,16.2,0.0,0,0,2024,Heracles Almelo
1,2023-08-18,20:00,Eredivisie,Matchweek 2,Fri,Home,W,2.0,1.0,NEC Nijmegen,1.1,1.1,46.0,12080.0,Justin Hoogma,4-2-3-1,Erwin Blank,Match Report,,16.0,7.0,21.7,0.0,0,0,2024,Heracles Almelo
2,2023-09-02,21:00,Eredivisie,Matchweek 4,Sat,Home,W,3.0,1.0,Excelsior,1.5,0.5,63.0,11185.0,Justin Hoogma,4-3-3,Joey Kooij,Match Report,,15.0,5.0,19.1,0.0,0,0,2024,Heracles Almelo
3,2023-09-16,21:00,Eredivisie,Matchweek 5,Sat,Home,L,1.0,3.0,Utrecht,0.9,1.8,57.0,11831.0,Justin Hoogma,4-3-3,Sander van der Eijk,Match Report,,11.0,1.0,19.3,1.0,0,0,2024,Heracles Almelo
4,2023-09-23,16:30,Eredivisie,Matchweek 6,Sat,Away,D,2.0,2.0,Volendam,1.6,2.0,50.0,6600.0,Justin Hoogma,4-3-3,Ingmar Oostrom,Match Report,,15.0,5.0,14.2,0.0,0,0,2024,Heracles Almelo
5,2023-09-28,20:00,Eredivisie,Matchweek 3,Thu,Away,D,1.0,1.0,AZ Alkmaar,0.8,2.7,39.0,16276.0,Justin Hoogma,4-2-3-1,Danny Makkelie,Match Report,,4.0,2.0,20.6,0.0,0,0,2024,Heracles Almelo
6,2023-10-01,14:30,Eredivisie,Matchweek 7,Sun,Home,W,2.0,1.0,Zwolle,2.5,1.6,44.0,11624.0,Justin Hoogma,4-2-3-1,Bas Nijhuis,Match Report,,12.0,5.0,15.9,0.0,1,1,2024,Heracles Almelo
7,2023-10-07,20:00,Eredivisie,Matchweek 8,Sat,Away,L,0.0,4.0,Go Ahead Eag,1.8,1.7,62.0,9833.0,Justin Hoogma,4-2-3-1,Alex Bos,Match Report,,17.0,8.0,19.6,1.0,0,0,2024,Heracles Almelo
8,2023-10-22,14:30,Eredivisie,Matchweek 9,Sun,Home,D,2.0,2.0,Twente,1.6,2.2,45.0,12080.0,Justin Hoogma,4-2-3-1,Pol van Boekel,Match Report,,16.0,3.0,18.6,0.0,0,0,2024,Heracles Almelo
9,2023-10-28,18:45,Eredivisie,Matchweek 10,Sat,Away,L,0.0,3.0,Heerenveen,0.7,2.6,52.0,21700.0,Justin Hoogma,4-2-3-1,Martin van den Kerkhof,Match Report,,9.0,3.0,18.5,0.0,0,0,2024,Heracles Almelo
10,2023-11-04,16:30,Eredivisie,Matchweek 11,Sat,Home,L,0.0,6.0,PSV Eindhoven,0.8,5.0,37.0,11867.0,Justin Hoogma,4-2-3-1,Joey Kooij,Match Report,,7.0,1.0,15.2,0.0,0,0,2024,Heracles Almelo
11,2023-11-10,20:00,Eredivisie,Matchweek 12,Fri,Away,L,1.0,4.0,Fortuna Sittard,1.0,1.4,57.0,10196.0,Thomas Bruns,4-2-3-1,Allard Lindhout,Match Report,,7.0,3.0,19.1,0.0,0,0,2024,Heracles Almelo
12,2023-11-26,12:15,Eredivisie,Matchweek 13,Sun,Away,W,5.0,0.0,Almere City,3.2,1.1,38.0,4222.0,Sven Sonnenberg,4-3-3,Jannick van der Laan,Match Report,,17.0,6.0,17.8,1.0,0,0,2024,Heracles Almelo
13,2023-12-02,21:00,Eredivisie,Matchweek 14,Sat,Home,L,0.0,1.0,Sparta R'dam,1.1,1.0,52.0,11645.0,Justin Hoogma,4-3-3,Edwin van de Graaf,Match Report,,13.0,3.0,18.3,0.0,0,0,2024,Heracles Almelo
14,2023-12-10,16:45,Eredivisie,Matchweek 15,Sun,Away,L,0.0,2.0,Vitesse,1.9,1.4,51.0,17061.0,Justin Hoogma,4-1-4-1,Serdar Gözübüyük,Match Report,,11.0,2.0,16.8,1.0,0,1,2024,Heracles Almelo
15,2023-12-17,14:30,Eredivisie,Matchweek 16,Sun,Home,L,0.0,4.0,Feyenoord,0.1,3.0,34.0,12080.0,Justin Hoogma,4-4-2,Jeroen Manschot,Match Report,,2.0,0.0,20.0,0.0,0,0,2024,Heracles Almelo
16,2024-01-12,20:00,Eredivisie,Matchweek 17,Fri,Away,W,2.0,1.0,RKC Waalwijk,1.3,1.9,46.0,6412.0,Justin Hoogma,5-4-1,Rob Dieperink,Match Report,,8.0,1.0,15.8,0.0,1,1,2024,Heracles Almelo
17,2024-01-20,18:45,Eredivisie,Matchweek 18,Sat,Home,D,1.0,1.0,Volendam,1.8,0.7,65.0,12080.0,Justin Hoogma,5-4-1,Jannick van der Laan,Match Report,,15.0,7.0,14.1,0.0,0,0,2024,Heracles Almelo
0,2023-08-12,16:30,Eredivisie,Matchweek 1,Sat,Away,L,0.0,2.0,PSV Eindhoven,0.7,2.6,33.0,32486.0,Mike van der Hoorn,4-3-3,Serdar Gözübüyük,Match Report,,7.0,1.0,14.4,0.0,0,0,2024,Utrecht
1,2023-08-20,12:15,Eredivisie,Matchweek 2,Sun,Home,L,0.0,2.0,Heerenveen,0.9,0.5,57.0,19878.0,Mike van der Hoorn,4-2-3-1,Ingmar Oostrom,Match Report,,12.0,5.0,16.4,0.0,0,0,2024,Utrecht
2,2023-08-27,12:15,Eredivisie,Matchweek 3,Sun,Away,L,0.0,1.0,Zwolle,0.4,1.1,53.0,14000.0,Nick Viergever,4-3-3,Laurens Gerrets,Match Report,,10.0,1.0,19.5,0.0,0,0,2024,Utrecht
3,2023-09-03,12:15,Eredivisie,Matchweek 4,Sun,Home,L,1.0,5.0,Feyenoord,0.6,4.5,45.0,20366.0,Mike van der Hoorn,4-3-3,Pol van Boekel,Match Report,,5.0,1.0,16.2,0.0,0,0,2024,Utrecht
4,2023-09-16,21:00,Eredivisie,Matchweek 5,Sat,Away,W,3.0,1.0,Heracles Almelo,1.8,0.9,43.0,11831.0,Mark van der Maarel,4-3-3,Sander van der Eijk,Match Report,,11.0,7.0,15.6,1.0,0,0,2024,Utrecht
5,2023-09-23,18:45,Eredivisie,Matchweek 6,Sat,Away,L,0.0,3.0,NEC Nijmegen,1.5,2.2,57.0,12500.0,Mark van der Maarel,4-3-3,Dennis Higler,Match Report,,17.0,3.0,14.4,0.0,0,0,2024,Utrecht
6,2023-09-30,18:45,Eredivisie,Matchweek 7,Sat,Home,L,0.0,2.0,Almere City,1.2,2.0,53.0,22177.0,Nick Viergever,4-3-3,Edwin van de Graaf,Match Report,,11.0,2.0,17.5,0.0,0,0,2024,Utrecht
7,2023-10-06,20:00,Eredivisie,Matchweek 8,Fri,Away,L,0.0,1.0,Volendam,0.9,2.6,35.0,6525.0,Nick Viergever,4-3-3,Serdar Gözübüyük,Match Report,,7.0,3.0,18.6,1.0,0,0,2024,Utrecht
8,2023-10-22,12:15,Eredivisie,Matchweek 9,Sun,Home,W,4.0,3.0,Ajax,2.0,1.5,41.0,22198.0,Mike van der Hoorn,4-2-3-1,Dennis Higler,Match Report,,14.0,8.0,15.7,0.0,0,0,2024,Utrecht
9,2023-10-28,21:00,Eredivisie,Matchweek 10,Sat,Away,D,0.0,0.0,Fortuna Sittard,0.9,1.2,48.0,10102.0,Mike van der Hoorn,4-2-3-1,Bas Nijhuis,Match Report,,12.0,2.0,17.5,0.0,0,0,2024,Utrecht
10,2023-11-05,12:15,Eredivisie,Matchweek 11,Sun,Home,D,1.0,1.0,Twente,0.8,1.2,45.0,17491.0,Mike van der Hoorn,4-2-3-1,Serdar Gözübüyük,Match Report,,14.0,6.0,20.2,0.0,0,0,2024,Utrecht
11,2023-11-12,20:00,Eredivisie,Matchweek 12,Sun,Home,D,2.0,2.0,Excelsior,0.6,1.9,59.0,20235.0,Mike van der Hoorn,4-2-3-1,Marc Nagtegaal,Match Report,,14.0,6.0,19.1,0.0,0,0,2024,Utrecht
12,2023-11-26,16:45,Eredivisie,Matchweek 13,Sun,Away,W,2.0,1.0,Sparta R'dam,1.2,2.4,40.0,10030.0,Vasilios Barkas,4-2-3-1,Joey Kooij,Match Report,,7.0,2.0,13.6,0.0,0,0,2024,Utrecht
13,2023-12-03,16:45,Eredivisie,Matchweek 14,Sun,Home,D,1.0,1.0,AZ Alkmaar,2.1,1.2,47.0,18267.0,Nick Viergever,4-2-3-1,Erwin Blank,Match Report,,15.0,4.0,18.4,0.0,0,0,2024,Utrecht
14,2023-12-10,12:15,Eredivisie,Matchweek 15,Sun,Away,W,2.0,0.0,Go Ahead Eag,0.8,1.2,39.0,9873.0,Nick Viergever,4-2-3-1,Allard Lindhout,Match Report,,12.0,3.0,18.7,1.0,0,0,2024,Utrecht
15,2023-12-16,16:30,Eredivisie,Matchweek 16,Sat,Home,D,1.0,1.0,RKC Waalwijk,1.8,1.9,57.0,22033.0,Nick Viergever,4-2-3-1,Serdar Gözübüyük,Match Report,,17.0,6.0,14.9,0.0,0,0,2024,Utrecht
16,2024-01-14,14:30,Eredivisie,Matchweek 17,Sun,Away,D,0.0,0.0,Vitesse,1.6,0.9,59.0,14207.0,Nick Viergever,4-2-3-1,Richard Martens,Match Report,,20.0,4.0,15.9,2.0,0,0,2024,Utrecht
0,2023-08-12,18:45,Eredivisie,Matchweek 1,Sat,Away,L,1.0,3.0,Heerenveen,2.0,1.5,53.0,19500.0,Michiel Kramer,4-4-2,Marc Nagtegaal,Match Report,,12.0,3.0,18.8,0.0,1,1,2024,RKC Waalwijk
1,2023-08-20,16:45,Eredivisie,Matchweek 2,Sun,Home,L,1.0,3.0,AZ Alkmaar,2.0,1.5,45.0,6722.0,Michiel Kramer,4-4-2,Alex Bos,Match Report,,6.0,4.0,14.9,0.0,1,1,2024,RKC Waalwijk
2,2023-08-26,18:45,Eredivisie,Matchweek 3,Sat,Away,L,0.0,3.0,NEC Nijmegen,1.3,1.9,59.0,12319.0,Michiel Kramer,4-4-2,Jochem Kamphuis,Match Report,,10.0,1.0,15.3,0.0,0,0,2024,RKC Waalwijk
3,2023-09-02,20:00,Eredivisie,Matchweek 4,Sat,Home,L,0.0,4.0,PSV Eindhoven,0.9,2.1,40.0,6609.0,Michiel Kramer,4-4-1-1,Dennis Higler,Match Report,,10.0,3.0,18.9,1.0,0,0,2024,RKC Waalwijk
